drifter_id,time,latitude,longitude,uo,vo
300234061199810.0,2023-01-08 06:00:00,15.118,-66.608,-0.012817774,-0.12634663
300234061199810.0,2023-01-08 12:00:00,15.099,-66.594,-0.012817774,-0.12634663
300234061199810.0,2023-01-08 18:00:00,15.071,-66.596,-0.022583697,-0.09521775
300234061199810.0,2023-01-09 00:00:00,15.055,-66.599,-0.022583697,-0.09521775
300234061199810.0,2023-01-09 06:00:00,15.051,-66.613,-0.022583697,-0.09521775
300234061199810.0,2023-01-09 12:00:00,15.07,-66.626,-0.0012207404,-0.12207404
300234061199810.0,2023-01-09 18:00:00,15.088,-66.64,0.025635548,-0.12329478
300234061199810.0,2023-01-10 00:00:00,15.119,-66.675,0.025635548,-0.12329478
300234061476350.0,2023-01-01 00:00:00,2.163,0.144,-0.110477,-0.06469924
300234061476350.0,2023-01-01 06:00:00,2.154,0.086,-0.10925627,-0.05859554
300234061476350.0,2023-01-01 12:00:00,2.138,0.029,-0.10864589,-0.053712577
300234061476350.0,2023-01-01 18:00:00,2.134,-0.025,-0.10315256,-0.09399701
300234061476350.0,2023-01-02 00:00:00,2.123,-0.074,-0.08850367,-0.080568865
300234061476350.0,2023-01-02 06:00:00,2.116,-0.113,-0.08850367,-0.080568865
300234061476350.0,2023-01-02 12:00:00,2.116,-0.137,-0.08606219,-0.07446516
300234061476350.0,2023-01-02 18:00:00,2.127,-0.148,-0.09155553,-0.095828116
300234061476350.0,2023-01-03 00:00:00,2.117,-0.147,-0.08667257,-0.097048864
300234061476350.0,2023-01-03 06:00:00,2.106,-0.152,-0.08667257,-0.097048864
300234061476350.0,2023-01-03 12:00:00,2.078,-0.152,-0.08667257,-0.097048864
300234061476350.0,2023-01-03 18:00:00,2.051,-0.152,-0.10010071,-0.056764428
300234061476350.0,2023-01-04 00:00:00,2.022,-0.159,-0.08911405,-0.056764428
300234061476350.0,2023-01-04 06:00:00,1.987,-0.171,-0.08911405,-0.056764428
300234061476350.0,2023-01-04 12:00:00,1.971,-0.176,-0.08911405,-0.056764428
300234061476350.0,2023-01-04 18:00:00,1.945,-0.183,-0.0982696,-0.038453322
300234061476350.0,2023-01-05 00:00:00,1.932,-0.187,-0.0982696,-0.038453322
300234061476350.0,2023-01-05 06:00:00,1.906,-0.2,-0.0982696,-0.038453322
300234061476350.0,2023-01-05 12:00:00,1.879,-0.215,-0.09765923,-0.03234962
300234061476350.0,2023-01-05 18:00:00,1.843,-0.239,-0.081789605,0.0036622211
300234061476350.0,2023-01-06 00:00:00,1.802,-0.252,-0.081789605,0.0036622211
300234061476350.0,2023-01-06 06:00:00,1.753,-0.284,-0.06469924,0.0042725913
300234061476350.0,2023-01-06 12:00:00,1.703,-0.31,-0.042115543,0.009155553
300234061476350.0,2023-01-06 18:00:00,1.658,-0.358,0.03662221,0.007934812
300234061476350.0,2023-01-07 00:00:00,1.614,-0.398,0.054322947,0.012207404
300234061476350.0,2023-01-07 06:00:00,1.587,-0.444,0.054322947,0.012207404
300234061476350.0,2023-01-07 12:00:00,1.542,-0.482,0.048829615,0.017090365
300234061476350.0,2023-01-07 18:00:00,1.513,-0.519,0.08117923,-0.012817774
300234061476350.0,2023-01-08 00:00:00,1.494,-0.551,0.07446516,-0.006714072
300234061476350.0,2023-01-08 06:00:00,1.493,-0.581,0.07446516,-0.006714072
300234061476350.0,2023-01-08 12:00:00,1.492,-0.604,0.07446516,-0.006714072
300234061476350.0,2023-01-08 18:00:00,1.501,-0.626,0.057985168,-0.090945154
300234061476350.0,2023-01-09 00:00:00,1.489,-0.647,0.057985168,-0.090945154
300234061476350.0,2023-01-09 06:00:00,1.502,-0.666,0.057985168,-0.090945154
300234061476350.0,2023-01-09 12:00:00,1.483,-0.701,0.057985168,-0.090945154
300234061476350.0,2023-01-09 18:00:00,1.488,-0.721,-0.08667257,-0.15503404
300234061476350.0,2023-01-10 00:00:00,1.459,-0.748,-0.08667257,-0.15503404
300234062854730.0,2023-01-01 00:00:00,30.597,-28.351,0.018311106,-0.16418958
